support,itemsets
0.06887052341597796,toys
0.011019283746556474,consoles_games
0.128099173553719,baby
0.09228650137741047,sports_leisure
0.03581267217630854,perfumery
0.2727272727272727,bed_bath_table
0.14049586776859505,housewares
0.10055096418732783,garden_tools
0.04269972451790634,stationery
0.09641873278236915,health_beauty
0.01652892561983471,market_place
0.07024793388429752,computers_accessories
0.08953168044077135,cool_stuff
0.008264462809917356,kitchen_dining_laundry_garden_furniture
0.0371900826446281,telephony
0.2796143250688705,furniture_decor
0.009641873278236915,musical_instruments
0.024793388429752067,construction_tools_lights
0.005509641873278237,food_drink
0.02066115702479339,luggage_accessories
0.012396694214876033,costruction_tools_garden
0.05509641873278237,watches_gifts
0.008264462809917356,audio
0.03581267217630854,home_construction
0.06887052341597796,home_confort
0.03168044077134986,electronics
0.0013774104683195593,home_appliances_2
0.023415977961432508,construction_tools_construction
0.0013774104683195593,signaling_and_security
0.008264462809917356,small_appliances
0.011019283746556474,drinks
0.048209366391184574,auto
0.005509641873278237,books_technical
0.015151515151515152,fashion_bags_accessories
0.013774104683195593,pet_shop
0.0013774104683195593,computers
0.011019283746556474,food
0.0027548209366391185,fixed_telephony
0.0027548209366391185,arts_and_craftmanship
0.004132231404958678,furniture_bedroom
0.02066115702479339,furniture_living_room
0.006887052341597796,books_general_interest
0.0027548209366391185,la_cuisine
0.02066115702479339,office_furniture
0.0027548209366391185,dvds_blu_ray
0.0027548209366391185,air_conditioning
0.0027548209366391185,home_comfort_2
0.004132231404958678,tablets_printing_image
0.0027548209366391185,fashion_sport
0.009641873278236915,construction_tools_safety
0.0013774104683195593,christmas_supplies
0.005509641873278237,industry_commerce_and_business
0.0013774104683195593,party_supplies
0.0013774104683195593,fashio_female_clothing
0.0027548209366391185,flowers
0.008264462809917356,art
0.0027548209366391185,cine_photo
0.0027548209366391185,fashion_shoes
0.0027548209366391185,music
0.0027548209366391185,fashion_childrens_clothes
0.026170798898071626,"baby, toys"
0.009641873278236915,"cool_stuff, toys"
0.0027548209366391185,"bed_bath_table, toys"
0.0013774104683195593,"health_beauty, toys"
0.005509641873278237,"sports_leisure, toys"
0.0027548209366391185,"consoles_games, toys"
0.0013774104683195593,"consoles_games, pet_shop"
0.0013774104683195593,"computers_accessories, consoles_games"
0.0013774104683195593,"consoles_games, sports_leisure"
0.0013774104683195593,"consoles_games, housewares"
0.0013774104683195593,"consoles_games, cool_stuff"
0.0013774104683195593,"auto, consoles_games"
0.023415977961432508,"baby, bed_bath_table"
0.01652892561983471,"baby, furniture_decor"
0.006887052341597796,"baby, housewares"
0.0013774104683195593,"baby, bed_bath_table, furniture_decor"
0.015151515151515152,"housewares, sports_leisure"
0.004132231404958678,"furniture_decor, sports_leisure"
0.01928374655647383,"health_beauty, sports_leisure"
0.0013774104683195593,"bed_bath_table, sports_leisure"
0.0013774104683195593,"baby, sports_leisure"
0.004132231404958678,"garden_tools, sports_leisure"
0.004132231404958678,"perfumery, sports_leisure"
0.0027548209366391185,"perfumery, toys"
0.01652892561983471,"health_beauty, perfumery"
0.0013774104683195593,"bed_bath_table, perfumery"
0.0027548209366391185,"furniture_decor, perfumery"
0.0013774104683195593,"perfumery, watches_gifts"
0.0013774104683195593,"housewares, perfumery"
0.09641873278236915,"bed_bath_table, furniture_decor"
0.027548209366391185,"bed_bath_table, housewares"
0.03305785123966942,"furniture_decor, housewares"
0.015151515151515152,"garden_tools, housewares"
0.023415977961432508,"furniture_decor, garden_tools"
0.005509641873278237,"baby, garden_tools"
0.005509641873278237,"bed_bath_table, garden_tools"
0.0027548209366391185,"garden_tools, stationery"
0.0027548209366391185,"computers_accessories, stationery"
0.005509641873278237,"health_beauty, stationery"
0.008264462809917356,"stationery, toys"
0.005509641873278237,"housewares, stationery"
0.0013774104683195593,"sports_leisure, stationery"
0.0027548209366391185,"stationery, watches_gifts"
0.0027548209366391185,"furniture_decor, stationery"
0.0013774104683195593,"health_beauty, housewares"
0.0013774104683195593,"baby, health_beauty"
0.015151515151515152,"bed_bath_table, health_beauty"
0.004132231404958678,"furniture_decor, health_beauty"
0.0027548209366391185,"health_beauty, market_place"
0.0027548209366391185,"housewares, market_place"
0.0027548209366391185,"bed_bath_table, market_place"
0.0013774104683195593,"market_place, perfumery"
0.004132231404958678,"furniture_decor, market_place"
0.0013774104683195593,"bed_bath_table, market_place, perfumery"
0.012396694214876033,"computers_accessories, garden_tools"
0.006887052341597796,"computers_accessories, cool_stuff"
0.004132231404958678,"computers_accessories, sports_leisure"
0.0013774104683195593,"bed_bath_table, computers_accessories"
0.005509641873278237,"computers_accessories, housewares"
0.0013774104683195593,"computers_accessories, furniture_decor"
0.0013774104683195593,"computers_accessories, health_beauty"
0.0013774104683195593,"computers_accessories, health_beauty, sports_leisure"
0.0013774104683195593,"cool_stuff, sports_leisure"
0.027548209366391185,"baby, cool_stuff"
0.005509641873278237,"cool_stuff, furniture_decor"
0.013774104683195593,"bed_bath_table, cool_stuff"
0.0027548209366391185,"cool_stuff, health_beauty"
0.0013774104683195593,"cool_stuff, housewares"
0.0013774104683195593,"baby, bed_bath_table, cool_stuff"
0.0027548209366391185,"housewares, kitchen_dining_laundry_garden_furniture"
0.0013774104683195593,"construction_tools_construction, kitchen_dining_laundry_garden_furniture"
0.0013774104683195593,"furniture_decor, kitchen_dining_laundry_garden_furniture"
0.0013774104683195593,"bed_bath_table, kitchen_dining_laundry_garden_furniture"
0.0013774104683195593,"kitchen_dining_laundry_garden_furniture, toys"
0.008264462809917356,"computers_accessories, telephony"
0.008264462809917356,"cool_stuff, telephony"
0.0027548209366391185,"health_beauty, telephony"
0.0013774104683195593,"garden_tools, telephony"
0.004132231404958678,"auto, telephony"
0.0027548209366391185,"telephony, watches_gifts"
0.0013774104683195593,"telephony, toys"
0.0013774104683195593,"furniture_decor, musical_instruments"
0.0013774104683195593,"musical_instruments, watches_gifts"
0.0013774104683195593,"fashion_bags_accessories, musical_instruments"
0.0013774104683195593,"auto, musical_instruments"
0.0013774104683195593,"market_place, musical_instruments"
0.0013774104683195593,"musical_instruments, toys"
0.0013774104683195593,"luggage_accessories, musical_instruments"
0.0013774104683195593,"auto, fashion_bags_accessories, musical_instruments"
0.015151515151515152,"construction_tools_lights, furniture_decor"
0.004132231404958678,"construction_tools_lights, sports_leisure"
0.0013774104683195593,"construction_tools_lights, home_construction"
0.0013774104683195593,"baby, construction_tools_lights"
0.0013774104683195593,"construction_tools_lights, garden_tools"
0.0013774104683195593,"bed_bath_table, construction_tools_lights"
0.0013774104683195593,"bed_bath_table, construction_tools_lights, garden_tools"
0.0027548209366391185,"food_drink, housewares"
0.0027548209366391185,"food_drink, sports_leisure"
0.006887052341597796,"luggage_accessories, stationery"
0.0013774104683195593,"auto, luggage_accessories"
0.0027548209366391185,"health_beauty, luggage_accessories"
0.0027548209366391185,"computers_accessories, luggage_accessories"
0.0013774104683195593,"garden_tools, luggage_accessories"
0.0013774104683195593,"electronics, luggage_accessories"
0.0013774104683195593,"luggage_accessories, telephony"
0.0013774104683195593,"baby, luggage_accessories"
0.0027548209366391185,"bed_bath_table, costruction_tools_garden"
0.0013774104683195593,"costruction_tools_garden, garden_tools"
0.0013774104683195593,"costruction_tools_garden, pet_shop"
0.0013774104683195593,"costruction_tools_garden, telephony"
0.0013774104683195593,"costruction_tools_garden, home_construction"
0.0013774104683195593,"construction_tools_lights, costruction_tools_garden"
0.009641873278236915,"furniture_decor, watches_gifts"
0.0013774104683195593,"computers_accessories, watches_gifts"
0.006887052341597796,"sports_leisure, watches_gifts"
0.0027548209366391185,"cool_stuff, watches_gifts"
0.0027548209366391185,"housewares, watches_gifts"
0.0027548209366391185,"garden_tools, watches_gifts"
0.0013774104683195593,"toys, watches_gifts"
0.0013774104683195593,"baby, watches_gifts"
0.004132231404958678,"health_beauty, watches_gifts"
0.0013774104683195593,"home_confort, watches_gifts"
0.0013774104683195593,"furniture_decor, housewares, watches_gifts"
0.008264462809917356,"audio, watches_gifts"
0.01790633608815427,"furniture_decor, home_construction"
0.009641873278236915,"garden_tools, home_construction"
0.0027548209366391185,"home_construction, housewares"
0.0013774104683195593,"computers_accessories, home_construction"
0.0013774104683195593,"cool_stuff, home_construction"
0.0013774104683195593,"furniture_decor, garden_tools, home_construction"
0.0013774104683195593,"furniture_decor, home_construction, housewares"
0.0013774104683195593,"computers_accessories, cool_stuff, home_construction"
0.008264462809917356,"furniture_decor, home_confort"
0.05922865013774105,"bed_bath_table, home_confort"
0.0013774104683195593,"home_confort, housewares"
0.0013774104683195593,"bed_bath_table, furniture_decor, home_confort"
0.0027548209366391185,"electronics, telephony"
0.006887052341597796,"computers_accessories, electronics"
0.0027548209366391185,"electronics, furniture_decor"
0.0027548209366391185,"electronics, watches_gifts"
0.0013774104683195593,"auto, electronics"
0.0013774104683195593,"electronics, garden_tools"
0.0027548209366391185,"electronics, perfumery"
